선수명,팀명,년도,타율,경기,타수,득점,홈런,출루율,장타율,출루율+장타율,득점권타율,추정득점,포지션,수비 승리 기여도,수비이닝 합계,도루시도,도루허용,도루성공률
최정,SK,2019,0.292,141,503,86,29,0.399,0.519,0.918,0.333,107.1,['3루수'],-0.419,1153,5.0,3.0,60.0
김재현,SK,2019,0.286,83,42,29,0,0.348,0.381,0.729,0.25,6.1,"['우익수', '중견수', '좌익수']",0.03566666666666666,141 2/3,19.0,13.0,68.4
정의윤,SK,2019,0.282,110,380,44,13,0.342,0.447,0.789,0.279,55.5,"['좌익수', '우익수']",-0.229,376,0.0,0.0,-
로맥,SK,2019,0.276,137,504,86,29,0.370,0.508,0.878,0.266,94.5,"['1루수', '3루수']",-1.137,1180 1/3,9.0,6.0,66.7
김강민,SK,2019,0.270,127,422,54,8,0.324,0.370,0.694,0.298,52.3,['중견수'],0.906,947 1/3,23.0,15.0,65.2
이재원,SK,2019,0.268,139,451,33,12,0.327,0.390,0.717,0.303,57.1,['포수'],-0.971,1041,1.0,1.0,100
한유섬,SK,2019,0.265,125,427,52,12,0.375,0.396,0.771,0.264,65.7,['우익수'],-1.135,772 2/3,1.0,0.0,0.0
김성민,SK,2019,0.250,2,4,0,0,0.250,0.250,0.500,0.0,0.2,0,0.0,0,0.0,0.0,-
노수광,SK,2019,0.250,117,388,69,2,0.333,0.312,0.645,0.333,45.7,"['좌익수', '중견수', '우익수']",0.13533333333333333,896,37.0,27.0,73.0
김성현,SK,2019,0.246,144,426,45,1,0.302,0.300,0.602,0.216,37.0,['유격수'],0.094,1143 2/3,8.0,6.0,75.0
안상현,SK,2019,0.235,65,102,14,0,0.262,0.265,0.527,0.227,6.4,"['2루수', '유격수']",0.1205,293,10.0,7.0,70.0
최항,SK,2019,0.228,52,127,12,0,0.322,0.268,0.590,0.25,12.4,"['2루수', '1루수']",0.006999999999999999,313,2.0,2.0,100
남태혁,SK,2019,0.227,12,22,1,0,0.292,0.227,0.519,0.167,0.5,['1루수'],-0.024,13,0.0,0.0,-
최승준,SK,2019,0.227,10,22,2,0,0.292,0.227,0.519,0.0,1.2,['1루수'],-0.037,26,0.0,0.0,-
배영섭,SK,2019,0.225,30,71,5,0,0.300,0.239,0.539,0.385,6.6,"['좌익수', '우익수', '중견수']",-0.023666666666666666,159 2/3,2.0,2.0,100
나주환,SK,2019,0.222,94,225,14,3,0.270,0.302,0.572,0.226,16.6,"['2루수', '3루수', '1루수']",0.40599999999999997,528,3.0,1.0,33.3
최준우,SK,2019,0.212,15,33,3,0,0.278,0.273,0.551,0.0,1.9,"['2루수', '3루수']",0.126,78,0.0,0.0,-
박정권,SK,2019,0.188,18,32,5,1,0.297,0.313,0.610,0.25,3.4,['1루수'],-0.193,42 1/3,0.0,0.0,-
정진기,SK,2019,0.188,13,16,1,0,0.235,0.188,0.423,0.5,0.7,"['우익수', '좌익수']",-0.03,41,0.0,0.0,-
김창평,SK,2019,0.178,18,45,4,0,0.260,0.222,0.482,0.25,2.5,"['2루수', '유격수']",-0.115,126,0.0,0.0,-
강승호,SK,2019,0.154,15,39,5,2,0.195,0.308,0.503,0.25,2.1,"['2루수', '유격수']",0.247,92,0.0,0.0,-
허도환,SK,2019,0.127,56,79,3,1,0.202,0.203,0.405,0.0,2.4,['포수'],-0.067,242 1/3,1.0,0.0,0.0
정현,SK,2019,0.079,27,38,3,0,0.200,0.079,0.279,0.167,0.1,"['2루수', '유격수']",0.1405,106 1/3,2.0,1.0,50.0
최경모,SK,2019,0.063,17,16,2,0,0.063,0.125,0.188,0.0,-0.6,"['2루수', '유격수']",0.026,47,0.0,0.0,-
김태훈,SK,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
신재웅,SK,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
오준혁,SK,2019,0.000,2,1,1,0,0.000,0.000,0.000,0.0,-0.1,0,0.0,0,0.0,0.0,-
이승진,SK,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이현석,SK,2019,0.0,2,3,0,0,0.0,0.0,0.0,0.0,-0.3,['포수'],0.049,9,0.0,0.0,-
채현우,SK,2019,0.0,9,1,2,0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,4.0,3.0,75.0
최민재,SK,2019,0.0,1,2,0,0,0.0,0.0,0.0,0.0,-0.2,['우익수'],0.126,6,0.0,0.0,-
채은성,LG,2019,0.315,128,470,59,12,0.358,0.434,0.792,0.331,71.8,['우익수'],-0.319,886 1/3,4.0,2.0,50.0
이천웅,LG,2019,0.308,138,546,88,2,0.378,0.374,0.752,0.333,75.4,"['좌익수', '우익수']",-0.0925,30 2/3,31.0,21.0,67.7
김현수,LG,2019,0.304,140,526,75,11,0.370,0.437,0.807,0.329,84.2,['1루수'],-0.108,209 1/3,4.0,3.0,75.0
페게로,LG,2019,0.286,52,199,24,9,0.332,0.472,0.804,0.277,30.3,"['1루수', '우익수', '좌익수']",-0.16,233,3.0,2.0,66.7
이형종,LG,2019,0.286,120,419,56,13,0.358,0.442,0.800,0.248,68.0,"['좌익수', '우익수', '중견수']",0.19824999999999998,756 1/3,11.0,6.0,54.5
박용택,LG,2019,0.282,64,195,19,1,0.340,0.344,0.684,0.22,23.5,['좌익수'],0.078,24 2/3,4.0,3.0,75.0
조셉,LG,2019,0.274,55,197,17,9,0.332,0.426,0.758,0.263,28.3,['1루수'],0.367,357,1.0,0.0,0.0
유강남,LG,2019,0.270,132,418,44,16,0.334,0.438,0.772,0.21,56.8,['포수'],1.313,968 1/3,0.0,0.0,-
