선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
김태연,1루수,0.2,25,25,3,5,0,0,1,1,0,0,3,1,0,0,0,0.2,0.32,0.52,2,한화,4,3,2,-0.557,0.29,1루수,1.146
김태연,1루수,0.2,25,25,3,5,0,0,1,1,0,0,3,1,0,0,0,0.2,0.32,0.52,2,한화,4,3,2,-0.631,0.29,1루수,1.146
하주석,유격수,0.2,13,10,0,2,1,0,0,1,1,1,3,0,0,1,0,0.333,0.3,0.633,2,한화,1,1,2,0.069,0.368,유격수,0.736
하주석,유격수,0.2,13,10,0,2,1,0,0,1,1,1,3,0,0,1,0,0.333,0.3,0.633,2,한화,1,1,2,-0.1,0.368,유격수,0.736
안치홍,1루수,0.105,22,19,2,2,0,0,1,2,0,2,5,0,0,0,1,0.182,0.263,0.445,2,한화,1,3,2,-0.087,0.305,,1.3199999999999998
안치홍,1루수,0.105,22,19,2,2,0,0,1,2,0,2,5,0,0,0,1,0.182,0.263,0.445,2,한화,1,3,2,-0.658,0.305,,1.3199999999999998
김태연,1루수,0.373,69,59,11,22,4,0,2,10,1,7,12,1,0,1,1,0.441,0.542,0.983,3,한화,16,3,2,-0.211,0.29,1루수,12.993999999999994
김태연,1루수,0.373,69,59,11,22,4,0,2,10,1,7,12,1,0,1,1,0.441,0.542,0.983,3,한화,16,3,2,-0.557,0.29,1루수,12.993999999999994
김태연,1루수,0.373,69,59,11,22,4,0,2,10,1,7,12,1,0,1,1,0.441,0.542,0.983,3,한화,16,3,2,-0.631,0.29,1루수,12.993999999999994
노시환,3루수,0.303,98,89,20,27,3,0,5,13,0,9,19,4,1,0,0,0.367,0.506,0.873,3,한화,19,5,0,-0.264,0.314,3루수,15.517999999999997
페라자,우익수,0.256,138,125,21,32,8,0,5,20,0,13,32,1,2,0,0,0.326,0.44,0.766,3,한화,19,7,5,0.052,0.338,우익수,17.364000000000004
페라자,우익수,0.256,138,125,21,32,8,0,5,20,0,13,32,1,2,0,0,0.326,0.44,0.766,3,한화,19,7,5,-0.111,0.338,우익수,17.364000000000004
페라자,우익수,0.256,138,125,21,32,8,0,5,20,0,13,32,1,2,0,0,0.326,0.44,0.766,3,한화,19,7,5,-0.357,0.338,우익수,17.364000000000004
안치홍,1루수,0.224,86,76,6,17,4,0,0,5,2,8,15,2,0,0,0,0.314,0.276,0.59,3,한화,13,3,2,-0.087,0.305,,6.509999999999999
안치홍,1루수,0.224,86,76,6,17,4,0,0,5,2,8,15,2,0,0,0,0.314,0.276,0.59,3,한화,13,3,2,-0.658,0.305,,6.509999999999999
채은성,1루수,0.149,52,47,4,7,3,0,0,7,1,3,10,1,0,0,1,0.212,0.213,0.425,3,한화,4,1,1,-0.031,0.258,1루수,1.7000000000000002
채은성,1루수,0.149,52,47,4,7,3,0,0,7,1,3,10,1,0,0,1,0.212,0.213,0.425,3,한화,4,1,1,-0.531,0.258,1루수,1.7000000000000002
안치홍,1루수,0.353,94,85,16,30,2,0,6,18,1,7,14,1,0,0,1,0.404,0.588,0.992,4,한화,22,3,2,-0.087,0.305,,18.637999999999995
안치홍,1루수,0.353,94,85,16,30,2,0,6,18,1,7,14,1,0,0,1,0.404,0.588,0.992,4,한화,22,3,2,-0.658,0.305,,18.637999999999995
노시환,3루수,0.276,327,290,47,80,10,1,15,59,8,28,69,1,6,0,1,0.355,0.472,0.827,4,한화,54,5,0,-0.264,0.314,3루수,49.988000000000014
채은성,1루수,0.167,26,24,3,4,0,0,1,1,0,2,4,0,0,0,0,0.231,0.292,0.523,4,한화,3,1,1,-0.031,0.258,1루수,1.6480000000000006
채은성,1루수,0.167,26,24,3,4,0,0,1,1,0,2,4,0,0,0,0,0.231,0.292,0.523,4,한화,3,1,1,-0.531,0.258,1루수,1.6480000000000006
김태연,1루수,0.333,52,42,5,14,2,0,1,8,2,7,4,1,0,1,0,0.451,0.452,0.903,5,한화,11,3,2,-0.211,0.29,1루수,8.458
김태연,1루수,0.333,52,42,5,14,2,0,1,8,2,7,4,1,0,1,0,0.451,0.452,0.903,5,한화,11,3,2,-0.557,0.29,1루수,8.458
김태연,1루수,0.333,52,42,5,14,2,0,1,8,2,7,4,1,0,1,0,0.451,0.452,0.903,5,한화,11,3,2,-0.631,0.29,1루수,8.458
안치홍,1루수,0.319,157,135,24,43,5,0,2,17,2,19,18,2,0,0,1,0.408,0.4,0.808,5,한화,36,3,2,-0.087,0.305,,22.726000000000006
안치홍,1루수,0.319,157,135,24,43,5,0,2,17,2,19,18,2,0,0,1,0.408,0.4,0.808,5,한화,36,3,2,-0.658,0.305,,22.726000000000006
