선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
이성규,우익수,0.167,15,12,2,2,1,0,0,2,2,0,5,1,0,1,0,0.286,0.25,0.536,3,삼성,1,8,2,0.626,0.281,"우익수,우익수,중견수,좌익수,1루수",1.4300000000000002
강민호,포수,0.327,114,104,15,34,3,0,8,25,1,8,17,5,1,0,1,0.377,0.587,0.964,4,삼성,23,2,0,0.879,0.301,포수,20.593999999999998
김영웅,3루수,0.246,74,61,12,15,1,0,4,11,1,11,18,0,0,0,1,0.365,0.459,0.824,4,삼성,10,9,1,1.059,0.3,"유격수,2루수,3루수,3루수",12.946
박병호,1루수,0.214,65,56,8,12,0,0,4,11,0,9,20,2,0,0,0,0.323,0.429,0.752,4,삼성,8,2,0,-0.06,0.3,1루수,8.319999999999999
이재현,유격수,0.3,34,30,2,9,2,0,0,3,0,4,6,0,1,0,0,0.382,0.367,0.749,5,삼성,7,1,0,0.869,0.32,유격수,4.451999999999999
류지혁,2루수,0.286,69,63,10,18,2,0,1,12,1,3,12,2,0,1,1,0.324,0.365,0.689,5,삼성,15,8,4,0.025,0.309,"2루수,1루수,2루수,3루수",7.4239999999999995
강민호,포수,0.283,67,60,8,17,2,0,3,9,0,6,6,6,1,0,1,0.343,0.467,0.81,5,삼성,12,2,0,0.879,0.301,포수,8.302000000000001
김영웅,3루수,0.216,147,134,17,29,4,2,8,21,0,12,42,0,0,0,1,0.279,0.455,0.734,5,삼성,15,9,1,1.059,0.3,"유격수,2루수,3루수,3루수",19.944
이성규,우익수,0.152,40,33,5,5,0,0,3,7,1,6,9,1,0,0,0,0.3,0.424,0.724,5,삼성,2,8,2,0.626,0.281,"우익수,우익수,중견수,좌익수,1루수",5.538
박병호,1루수,0.118,20,17,2,2,1,0,0,3,2,1,10,0,0,0,0,0.25,0.176,0.426,5,삼성,1,2,0,-0.06,0.3,1루수,1.1700000000000004
이재현,유격수,0.313,36,32,9,10,2,0,1,6,0,4,5,0,0,0,0,0.389,0.469,0.858,6,삼성,7,1,0,0.869,0.32,유격수,5.899999999999999
강민호,포수,0.288,58,52,4,15,1,0,2,7,2,4,7,2,0,0,0,0.362,0.423,0.785,6,삼성,12,2,0,0.879,0.301,포수,7.8740000000000006
김영웅,3루수,0.283,104,92,20,26,4,0,6,16,1,9,31,1,0,1,1,0.35,0.522,0.872,6,삼성,16,9,1,1.059,0.3,"유격수,2루수,3루수,3루수",18.072000000000003
류지혁,2루수,0.282,47,39,5,11,2,0,0,5,1,7,11,0,0,0,0,0.404,0.333,0.737,6,삼성,9,8,4,0.025,0.309,"2루수,1루수,2루수,3루수",6.212
김헌곤,우익수,0.25,18,16,3,4,0,0,1,3,0,1,3,0,0,1,0,0.294,0.438,0.732,6,삼성,3,3,2,0.025,0.279,"우익수,중견수,좌익수,좌익수",2.1159999999999997
이성규,우익수,0.234,51,47,7,11,3,0,1,5,3,1,22,0,0,0,0,0.294,0.362,0.656,6,삼성,7,8,2,0.626,0.281,"우익수,우익수,중견수,좌익수,1루수",5.843999999999998
