선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
소크라테스,좌익수,0.358,102,95,16,34,3,0,7,20,2,4,18,0,2,0,1,0.392,0.611,1.003,6,KIA,24,9,3,-0.032,0.34,좌익수,21.496000000000002
소크라테스,좌익수,0.358,102,95,16,34,3,0,7,20,2,4,18,0,2,0,1,0.392,0.611,1.003,6,KIA,24,9,3,-1.164,0.34,좌익수,21.496000000000002
최원준,중견수,0.308,15,13,2,4,2,1,0,1,1,1,1,0,0,0,0,0.4,0.615,1.015,6,KIA,1,17,8,-0.002,0.33,중견수,3.3420000000000005
최원준,중견수,0.308,15,13,2,4,2,1,0,1,1,1,1,0,0,0,0,0.4,0.615,1.015,6,KIA,1,17,8,-0.329,0.33,중견수,3.3420000000000005
김선빈,2루수,0.267,180,165,16,44,7,0,5,19,3,10,21,4,0,1,0,0.32,0.4,0.72,6,KIA,32,3,0,-0.025,0.28,2루수,20.701999999999995
김선빈,2루수,0.267,180,165,16,44,7,0,5,19,3,10,21,4,0,1,0,0.32,0.4,0.72,6,KIA,32,3,0,-0.178,0.28,2루수,20.701999999999995
김선빈,2루수,0.267,180,165,16,44,7,0,5,19,3,10,21,4,0,1,0,0.32,0.4,0.72,6,KIA,32,3,0,0.0,0.28,2루수,20.701999999999995
김선빈,2루수,0.267,180,165,16,44,7,0,5,19,3,10,21,4,0,1,0,0.32,0.4,0.72,6,KIA,32,3,0,0.0,0.28,2루수,20.701999999999995
이창진,좌익수,0.182,16,11,3,2,1,0,0,0,0,3,2,1,0,2,0,0.357,0.273,0.63,6,KIA,1,3,1,0.05,0.146,좌익수,1.3440000000000007
이창진,좌익수,0.182,16,11,3,2,1,0,0,0,0,3,2,1,0,2,0,0.357,0.273,0.63,6,KIA,1,3,1,-0.216,0.146,좌익수,1.3440000000000007
이창진,좌익수,0.182,16,11,3,2,1,0,0,0,0,3,2,1,0,2,0,0.357,0.273,0.63,6,KIA,1,3,1,-0.237,0.146,좌익수,1.3440000000000007
소크라테스,좌익수,0.357,19,14,5,5,1,0,1,2,0,5,3,2,0,0,0,0.526,0.643,1.169,7,KIA,3,9,3,0.069,0.34,좌익수,4.446
소크라테스,좌익수,0.357,19,14,5,5,1,0,1,2,0,5,3,2,0,0,0,0.526,0.643,1.169,7,KIA,3,9,3,-0.032,0.34,좌익수,4.446
소크라테스,좌익수,0.357,19,14,5,5,1,0,1,2,0,5,3,2,0,0,0,0.526,0.643,1.169,7,KIA,3,9,3,-1.164,0.34,좌익수,4.446
최원준,중견수,0.31,77,71,12,22,2,1,1,11,0,6,13,2,0,0,0,0.364,0.408,0.772,7,KIA,18,17,8,-0.002,0.33,중견수,10.205999999999998
최원준,중견수,0.31,77,71,12,22,2,1,1,11,0,6,13,2,0,0,0,0.364,0.408,0.772,7,KIA,18,17,8,-0.329,0.33,중견수,10.205999999999998
김선빈,2루수,0.29,80,69,9,20,1,0,0,5,1,9,5,3,0,1,0,0.38,0.304,0.684,7,KIA,19,3,0,-0.025,0.28,2루수,8.639999999999999
김선빈,2루수,0.29,80,69,9,20,1,0,0,5,1,9,5,3,0,1,0,0.38,0.304,0.684,7,KIA,19,3,0,-0.178,0.28,2루수,8.639999999999999
김선빈,2루수,0.29,80,69,9,20,1,0,0,5,1,9,5,3,0,1,0,0.38,0.304,0.684,7,KIA,19,3,0,0.0,0.28,2루수,8.639999999999999
김선빈,2루수,0.29,80,69,9,20,1,0,0,5,1,9,5,3,0,1,0,0.38,0.304,0.684,7,KIA,19,3,0,0.0,0.28,2루수,8.639999999999999
변우혁,1루수,0.278,78,72,9,20,4,2,2,4,1,5,22,4,0,0,0,0.333,0.472,0.805,7,KIA,12,1,0,0.185,0.3,1루수,9.723999999999998
변우혁,1루수,0.278,78,72,9,20,4,2,2,4,1,5,22,4,0,0,0,0.333,0.472,0.805,7,KIA,12,1,0,-0.211,0.3,1루수,9.723999999999998
서건창,2루수,0.265,83,68,14,18,4,1,1,6,2,12,10,1,0,1,0,0.39,0.397,0.787,7,KIA,12,3,1,0.173,0.308,1루수,11.429999999999996
서건창,2루수,0.265,83,68,14,18,4,1,1,6,2,12,10,1,0,1,0,0.39,0.397,0.787,7,KIA,12,3,1,-0.542,0.308,1루수,11.429999999999996
한준수,포수,0.261,26,23,3,6,1,0,0,0,1,2,3,0,1,0,0,0.346,0.304,0.65,7,KIA,5,0,0,0.292,0.259,포수,2.5960000000000005
이창진,좌익수,0.219,46,32,5,7,0,0,0,3,0,11,7,0,0,2,1,0.409,0.219,0.628,7,KIA,7,3,1,0.05,0.146,좌익수,5.604
이창진,좌익수,0.219,46,32,5,7,0,0,0,3,0,11,7,0,0,2,1,0.409,0.219,0.628,7,KIA,7,3,1,-0.216,0.146,좌익수,5.604
이창진,좌익수,0.219,46,32,5,7,0,0,0,3,0,11,7,0,0,2,1,0.409,0.219,0.628,7,KIA,7,3,1,-0.237,0.146,좌익수,5.604
